source_asset_id,target_asset_id,connection_type,relationship_strength
Meter_Bldg_A1_01,Chiller_Bldg_A1_01,Monitors,0.95
Chiller_Bldg_A1_01,Pump_Bldg_A1_01,Supplies,0.9
Chiller_Bldg_A1_01,AHU_Bldg_A1_01,Supplies,0.85
AHU_Bldg_A1_01,EnvSens_Bldg_A1_01,Controls,0.88
Chiller_Bldg_A1_01,AHU_Bldg_A1_02,Supplies,0.85
AHU_Bldg_A1_02,EnvSens_Bldg_A1_02,Controls,0.88
Meter_Bldg_A1_01,Chiller_Bldg_A1_02,Monitors,0.95
Chiller_Bldg_A1_02,Pump_Bldg_A1_02,Supplies,0.9
Chiller_Bldg_A1_02,AHU_Bldg_A1_03,Supplies,0.85
AHU_Bldg_A1_03,EnvSens_Bldg_A1_03,Controls,0.88
Chiller_Bldg_A1_02,AHU_Bldg_A1_04,Supplies,0.85
AHU_Bldg_A1_04,EnvSens_Bldg_A1_04,Controls,0.88
Meter_Bldg_A2_01,Chiller_Bldg_A2_01,Monitors,0.95
Chiller_Bldg_A2_01,Pump_Bldg_A2_01,Supplies,0.9
Chiller_Bldg_A2_01,AHU_Bldg_A2_01,Supplies,0.85
AHU_Bldg_A2_01,EnvSens_Bldg_A2_01,Controls,0.88
Chiller_Bldg_A2_01,AHU_Bldg_A2_02,Supplies,0.85
AHU_Bldg_A2_02,EnvSens_Bldg_A2_02,Controls,0.88
Meter_Bldg_A2_01,Chiller_Bldg_A2_02,Monitors,0.95
Chiller_Bldg_A2_02,Pump_Bldg_A2_02,Supplies,0.9
Chiller_Bldg_A2_02,AHU_Bldg_A2_03,Supplies,0.85
AHU_Bldg_A2_03,EnvSens_Bldg_A2_03,Controls,0.88
Chiller_Bldg_A2_02,AHU_Bldg_A2_04,Supplies,0.85
AHU_Bldg_A2_04,EnvSens_Bldg_A2_04,Controls,0.88
Meter_Bldg_B1_01,Chiller_Bldg_B1_01,Monitors,0.95
Chiller_Bldg_B1_01,Pump_Bldg_B1_01,Supplies,0.9
Chiller_Bldg_B1_01,AHU_Bldg_B1_01,Supplies,0.85
AHU_Bldg_B1_01,EnvSens_Bldg_B1_01,Controls,0.88
Chiller_Bldg_B1_01,AHU_Bldg_B1_02,Supplies,0.85
AHU_Bldg_B1_02,EnvSens_Bldg_B1_02,Controls,0.88
Meter_Bldg_B1_01,Chiller_Bldg_B1_02,Monitors,0.95
Chiller_Bldg_B1_02,Pump_Bldg_B1_02,Supplies,0.9
Chiller_Bldg_B1_02,AHU_Bldg_B1_03,Supplies,0.85
AHU_Bldg_B1_03,EnvSens_Bldg_B1_03,Controls,0.88
Chiller_Bldg_B1_02,AHU_Bldg_B1_04,Supplies,0.85
AHU_Bldg_B1_04,EnvSens_Bldg_B1_04,Controls,0.88
Meter_Bldg_B2_01,Chiller_Bldg_B2_01,Monitors,0.95
Chiller_Bldg_B2_01,Pump_Bldg_B2_01,Supplies,0.9
Chiller_Bldg_B2_01,AHU_Bldg_B2_01,Supplies,0.85
