timestamp,site_id,building_id,asset_id,temperature,vibration,power_consumption,anomaly_type,iforest_score
2026-06-21 06:15:00,Site_C,Bldg_C2,AHU_Bldg_C2_01,26.13,2.992,32.37,Excessive Vibration,0.0423
2026-06-21 08:15:00,Site_C,Bldg_C2,AHU_Bldg_C2_01,29.76,3.074,38.87,Excessive Vibration,0.0171
2026-06-21 08:45:00,Site_C,Bldg_C2,AHU_Bldg_C2_01,28.73,3.002,38.8,Excessive Vibration,0.0322
2026-06-21 09:15:00,Site_C,Bldg_C2,AHU_Bldg_C2_01,29.4,3.07,35.41,Excessive Vibration,0.0277
2026-06-21 09:30:00,Site_C,Bldg_C2,AHU_Bldg_C2_01,29.88,2.963,42.95,Excessive Vibration,0.0203
2026-06-21 09:45:00,Site_C,Bldg_C2,AHU_Bldg_C2_01,30.17,3.213,36.24,Excessive Vibration,0.0108
2026-06-21 10:00:00,Site_C,Bldg_C2,AHU_Bldg_C2_01,30.13,2.966,37.79,Excessive Vibration,0.0338
2026-06-21 10:15:00,Site_C,Bldg_C2,AHU_Bldg_C2_01,30.2,3.348,38.34,Excessive Vibration,0.004
2026-06-21 10:30:00,Site_C,Bldg_C2,AHU_Bldg_C2_01,29.91,2.956,39.72,Excessive Vibration,-0.0039
2026-06-21 10:45:00,Site_C,Bldg_C2,AHU_Bldg_C2_01,29.91,3.07,39.1,Excessive Vibration,0.0222
2026-06-21 11:00:00,Site_C,Bldg_C2,AHU_Bldg_C2_01,30.59,3.275,38.56,Excessive Vibration,0.0288
2026-06-21 11:15:00,Site_C,Bldg_C2,AHU_Bldg_C2_01,30.07,3.23,38.02,Excessive Vibration,0.0171
2026-06-21 11:30:00,Site_C,Bldg_C2,AHU_Bldg_C2_01,30.01,3.386,38.56,Excessive Vibration,0.026
2026-06-21 11:45:00,Site_C,Bldg_C2,AHU_Bldg_C2_01,30.69,3.201,37.77,Excessive Vibration,0.0053
2026-06-21 12:00:00,Site_C,Bldg_C2,AHU_Bldg_C2_01,30.48,3.249,36.09,Excessive Vibration,0.0197
2026-06-21 12:15:00,Site_C,Bldg_C2,AHU_Bldg_C2_01,30.44,3.574,37.07,Excessive Vibration,0.0123
2026-06-21 12:30:00,Site_C,Bldg_C2,AHU_Bldg_C2_01,30.18,3.447,35.46,Excessive Vibration,0.0112
2026-06-21 12:45:00,Site_C,Bldg_C2,AHU_Bldg_C2_01,31.13,3.104,37.11,Excessive Vibration,0.0253
2026-06-21 13:00:00,Site_C,Bldg_C2,AHU_Bldg_C2_01,29.94,3.103,35.31,Excessive Vibration,0.0246
2026-06-21 13:15:00,Site_C,Bldg_C2,AHU_Bldg_C2_01,31.63,3.445,39.76,Excessive Vibration,-0.0185
2026-06-21 13:30:00,Site_C,Bldg_C2,AHU_Bldg_C2_01,31.92,3.566,38.6,Excessive Vibration,0.007
2026-06-21 13:45:00,Site_C,Bldg_C2,AHU_Bldg_C2_01,31.66,3.55,41.18,Excessive Vibration,0.0125
2026-06-21 14:00:00,Site_C,Bldg_C2,AHU_Bldg_C2_01,31.72,3.88,40.71,Excessive Vibration,0.0013
2026-06-21 14:15:00,Site_C,Bldg_C2,AHU_Bldg_C2_01,30.76,3.451,37.46,Excessive Vibration,0.003
2026-06-21 14:30:00,Site_C,Bldg_C2,AHU_Bldg_C2_01,30.83,3.706,41.69,Excessive Vibration,0.0095
2026-06-21 14:45:00,Site_C,Bldg_C2,AHU_Bldg_C2_01,31.25,4.005,40.33,Excessive Vibration,-0.0156
2026-06-21 15:00:00,Site_C,Bldg_C2,AHU_Bldg_C2_01,31.08,3.73,40.56,Excessive Vibration,0.017
2026-06-21 15:15:00,Site_C,Bldg_C2,AHU_Bldg_C2_01,30.73,3.93,36.92,Excessive Vibration,-0.001
2026-06-21 15:30:00,Site_C,Bldg_C2,AHU_Bldg_C2_01,30.38,3.864,39.72,Excessive Vibration,-0.0098
2026-06-21 15:45:00,Site_C,Bldg_C2,AHU_Bldg_C2_01,30.67,3.79,42.24,Excessive Vibration,-0.0022
2026-06-21 16:00:00,Site_C,Bldg_C2,AHU_Bldg_C2_01,30.72,3.625,41.46,Excessive Vibration,0.0114
2026-06-21 16:15:00,Site_C,Bldg_C2,AHU_Bldg_C2_01,31.59,4.014,41.87,Excessive Vibration,-0.0004
2026-06-21 16:30:00,Site_C,Bldg_C2,AHU_Bldg_C2_01,32.04,4.011,43.42,Excessive Vibration,-0.0062
2026-06-21 16:45:00,Site_C,Bldg_C2,AHU_Bldg_C2_01,30.87,3.813,44.43,Excessive Vibration,0.0017
2026-06-21 17:00:00,Site_C,Bldg_C2,AHU_Bldg_C2_01,30.55,4.054,41.32,Excessive Vibration,-0.0031
2026-06-21 17:15:00,Site_C,Bldg_C2,AHU_Bldg_C2_01,32.05,3.607,42.71,Excessive Vibration,0.0062
2026-06-21 17:30:00,Site_C,Bldg_C2,AHU_Bldg_C2_01,30.45,3.712,41.24,Excessive Vibration,0.0036
2026-06-21 17:45:00,Site_C,Bldg_C2,AHU_Bldg_C2_01,31.36,3.675,44.33,Excessive Vibration,0.0072
2026-06-21 18:00:00,Site_C,Bldg_C2,AHU_Bldg_C2_01,30.83,3.88,44.21,Excessive Vibration,-0.0007
2026-06-21 18:15:00,Site_C,Bldg_C2,AHU_Bldg_C2_01,30.12,4.038,44.98,Excessive Vibration,-0.0044
2026-06-21 18:30:00,Site_C,Bldg_C2,AHU_Bldg_C2_01,29.67,4.176,41.41,Excessive Vibration,0.0069
2026-06-21 18:45:00,Site_C,Bldg_C2,AHU_Bldg_C2_01,30.08,4.487,45.04,Excessive Vibration,-0.0245
2026-06-21 19:00:00,Site_C,Bldg_C2,AHU_Bldg_C2_01,29.88,4.092,42.06,Excessive Vibration,0.0048
2026-06-21 19:15:00,Site_C,Bldg_C2,AHU_Bldg_C2_01,30.39,3.807,44.75,Excessive Vibration,0.0037
2026-06-21 19:30:00,Site_C,Bldg_C2,AHU_Bldg_C2_01,31.02,4.402,42.66,Excessive Vibration,-0.0102
2026-06-21 19:45:00,Site_C,Bldg_C2,AHU_Bldg_C2_01,30.92,4.66,42.34,Excessive Vibration,-0.0097
2026-06-21 20:00:00,Site_C,Bldg_C2,AHU_Bldg_C2_01,30.19,4.246,44.68,Excessive Vibration,0.0008
2026-06-21 20:15:00,Site_C,Bldg_C2,AHU_Bldg_C2_01,29.89,4.299,45.62,Excessive Vibration,0.0017
2026-06-21 20:30:00,Site_C,Bldg_C2,AHU_Bldg_C2_01,30.38,4.215,41.6,Excessive Vibration,0.0023
2026-06-21 20:45:00,Site_C,Bldg_C2,AHU_Bldg_C2_01,30.23,4.496,45.27,Excessive Vibration,-0.0037
2026-06-21 21:00:00,Site_C,Bldg_C2,AHU_Bldg_C2_01,30.74,4.363,44.02,Excessive Vibration,-0.0083
2026-06-21 21:15:00,Site_C,Bldg_C2,AHU_Bldg_C2_01,30.46,4.501,47.57,Excessive Vibration,-0.019
2026-06-21 21:30:00,Site_C,Bldg_C2,AHU_Bldg_C2_01,30.18,4.46,42.81,Excessive Vibration,-0.0036
2026-06-21 21:45:00,Site_C,Bldg_C2,AHU_Bldg_C2_01,29.44,4.208,45.65,Excessive Vibration,-0.0064
2026-06-21 22:00:00,Site_C,Bldg_C2,AHU_Bldg_C2_01,29.47,4.129,47.88,Excessive Vibration,-0.0153
2026-06-21 22:15:00,Site_C,Bldg_C2,AHU_Bldg_C2_01,29.52,4.265,47.89,Excessive Vibration,0.0011
2026-06-21 22:30:00,Site_C,Bldg_C2,AHU_Bldg_C2_01,30.12,4.771,47.55,Excessive Vibration,-0.0087
2026-06-21 22:45:00,Site_C,Bldg_C2,AHU_Bldg_C2_01,29.77,4.845,47.72,Excessive Vibration,-0.0037
2026-06-21 23:00:00,Site_C,Bldg_C2,AHU_Bldg_C2_01,30.41,4.288,46.74,Excessive Vibration,-0.0017
2026-06-21 23:15:00,Site_C,Bldg_C2,AHU_Bldg_C2_01,29.97,4.779,47.32,Excessive Vibration,-0.014
2026-06-21 23:30:00,Site_C,Bldg_C2,AHU_Bldg_C2_01,29.27,4.436,48.98,Excessive Vibration,-0.0162
2026-06-21 23:45:00,Site_C,Bldg_C2,AHU_Bldg_C2_01,29.82,5.017,47.9,Excessive Vibration,-0.0145
2026-06-22 00:00:00,Site_C,Bldg_C2,AHU_Bldg_C2_01,44.54,1.71,41.96,Abnormal Temperature,-0.0171
2026-06-22 00:15:00,Site_C,Bldg_C2,AHU_Bldg_C2_01,40.45,2.079,46.76,Abnormal Temperature,-0.0407
2026-06-22 00:45:00,Site_C,Bldg_C2,AHU_Bldg_C2_01,44.9,1.714,47.51,Abnormal Temperature,-0.0358
2026-06-22 01:00:00,Site_C,Bldg_C2,AHU_Bldg_C2_01,41.06,2.692,43.59,Abnormal Temperature,-0.0394
2026-06-22 01:15:00,Site_C,Bldg_C2,AHU_Bldg_C2_01,44.79,1.565,39.71,Abnormal Temperature,-0.0375
2026-06-22 01:30:00,Site_C,Bldg_C2,AHU_Bldg_C2_01,37.78,1.657,42.07,Multivariate Telemetry Anomaly,-0.0105
2026-06-22 02:00:00,Site_C,Bldg_C2,AHU_Bldg_C2_01,44.46,1.878,38.43,Abnormal Temperature,-0.0319
2026-06-22 02:15:00,Site_C,Bldg_C2,AHU_Bldg_C2_01,44.45,1.714,31.54,Abnormal Temperature,-0.0231
2026-06-22 02:30:00,Site_C,Bldg_C2,AHU_Bldg_C2_01,42.32,1.211,39.11,Abnormal Temperature,-0.008
2026-06-22 02:45:00,Site_C,Bldg_C2,AHU_Bldg_C2_01,40.05,1.846,38.31,Abnormal Temperature,-0.0274
2026-06-22 03:00:00,Site_C,Bldg_C2,AHU_Bldg_C2_01,40.07,2.061,39.27,Abnormal Temperature,-0.0246
2026-06-22 03:30:00,Site_C,Bldg_C2,AHU_Bldg_C2_01,37.2,1.705,45.64,Multivariate Telemetry Anomaly,-0.0013
2026-06-22 03:45:00,Site_C,Bldg_C2,AHU_Bldg_C2_01,43.73,2.153,41.81,Abnormal Temperature,-0.0337
2026-06-22 04:00:00,Site_C,Bldg_C2,AHU_Bldg_C2_01,39.83,1.367,46.23,Abnormal Temperature,-0.002
2026-06-22 04:15:00,Site_C,Bldg_C2,AHU_Bldg_C2_01,45.66,2.173,34.07,Abnormal Temperature,-0.0321
2026-06-22 04:45:00,Site_C,Bldg_C2,AHU_Bldg_C2_01,41.69,1.089,49.82,Abnormal Temperature,0.019
2026-06-22 05:00:00,Site_C,Bldg_C2,AHU_Bldg_C2_01,45.6,1.966,33.53,Abnormal Temperature,-0.0238
2026-06-22 05:15:00,Site_C,Bldg_C2,AHU_Bldg_C2_01,42.87,2.009,37.05,Abnormal Temperature,-0.0276
2026-06-22 05:30:00,Site_C,Bldg_C2,AHU_Bldg_C2_01,39.56,1.657,34.56,Abnormal Temperature,-0.0096
2026-06-22 05:45:00,Site_C,Bldg_C2,AHU_Bldg_C2_01,39.02,2.037,51.96,Abnormal Temperature,-0.0182
2026-06-22 06:00:00,Site_C,Bldg_C2,AHU_Bldg_C2_01,45.04,1.407,46.5,Abnormal Temperature,-0.0079
2026-06-22 06:15:00,Site_C,Bldg_C2,AHU_Bldg_C2_01,42.06,1.752,26.34,Abnormal Temperature,-0.0229
2026-06-22 06:45:00,Site_C,Bldg_C2,AHU_Bldg_C2_01,41.04,1.504,38.9,Abnormal Temperature,-0.0144
2026-06-22 07:00:00,Site_C,Bldg_C2,AHU_Bldg_C2_01,43.32,1.622,48.37,Abnormal Temperature,-0.0038
2026-06-22 07:15:00,Site_C,Bldg_C2,AHU_Bldg_C2_01,46.23,1.657,40.29,Abnormal Temperature,-0.0225
2026-06-22 07:45:00,Site_C,Bldg_C2,AHU_Bldg_C2_01,40.84,1.692,39.99,Abnormal Temperature,-0.0204
2026-06-22 08:00:00,Site_C,Bldg_C2,AHU_Bldg_C2_01,46.45,3.902,93.62,"Excessive Vibration, Abnormal Temperature",-0.0604
2026-06-22 08:15:00,Site_C,Bldg_C2,AHU_Bldg_C2_01,40.92,2.33,80.65,Abnormal Temperature,-0.0281
2026-06-22 08:30:00,Site_C,Bldg_C2,AHU_Bldg_C2_01,45.11,2.343,90.53,Abnormal Temperature,-0.0334
2026-06-22 08:45:00,Site_C,Bldg_C2,AHU_Bldg_C2_01,49.07,2.744,127.04,Abnormal Temperature,-0.0479
2026-06-22 09:00:00,Site_C,Bldg_C2,AHU_Bldg_C2_01,39.91,2.109,146.71,"Sudden Power Spike, Abnormal Temperature",-0.0527
2026-06-22 09:15:00,Site_C,Bldg_C2,AHU_Bldg_C2_01,45.85,2.42,142.1,"Sudden Power Spike, Abnormal Temperature",-0.0531
2026-06-22 09:30:00,Site_C,Bldg_C2,AHU_Bldg_C2_01,49.75,2.516,131.3,"Sudden Power Spike, Abnormal Temperature",-0.0476
2026-06-22 09:45:00,Site_C,Bldg_C2,AHU_Bldg_C2_01,46.99,3.027,100.9,"Excessive Vibration, Abnormal Temperature",-0.0473
2026-06-22 10:00:00,Site_C,Bldg_C2,AHU_Bldg_C2_01,40.4,3.658,126.61,"Excessive Vibration, Abnormal Temperature",-0.0647
2026-06-22 10:15:00,Site_C,Bldg_C2,AHU_Bldg_C2_01,47.2,2.972,142.86,"Sudden Power Spike, Excessive Vibration, Abnormal Temperature",-0.0514
